,contract,TIN_of_supplier,TIN_of_purchaser,Price,Address_of_supplier,Address_of_purchaser
0,32009347076,256006322,2709001590,4431008.33,Белорецкий,Ванино
1,32110068299,256006322,2709001590,8785370.84,Белорецкий,Ванино
2,32110296447,256006322,2709001590,3240000.0,Белорецкий,Ванино
3,32211557847,256006322,2709001590,9483808.33,Белорецкий,Ванино
4,32009106780,268008010,268000188,198254.0,Стерлитамак,Псков
5,32110798091,268069694,266029390,10044000.0,Стерлитамак,Салават
6,32110986470,268069694,268000188,4623840.0,Стерлитамак,Псков
7,32211027373,270007455,267018087,242008.0,Учалинский,Сибай
8,32211027468,270007455,267018087,841600.0,Учалинский,Сибай
9,32110039951,274110679,7729101120,4305600.0,Долгопрудный,Москва
10,32110072582,274110679,7729101120,4305600.0,Долгопрудный,Москва
11,32110132691,274110679,7729101120,9339750.0,Долгопрудный,Москва
12,32110222052,274110679,7729101120,2500000.0,Долгопрудный,Москва
13,32110238175,274110679,7729101120,9986221.08,Долгопрудный,Москва
14,32110243497,274110679,7729101120,3013920.0,Долгопрудный,Москва
15,32110266493,274110679,7729101120,7842582.0,Долгопрудный,Москва
16,32110282877,274110679,7729101120,11260200.0,Долгопрудный,Москва
17,32110360446,274110679,7729101120,2500000.0,Долгопрудный,Москва
18,32110384266,274110679,7729101120,2500000.0,Долгопрудный,Москва
19,32110388722,274110679,7729101120,15685164.0,Долгопрудный,Москва
20,32110407618,274110679,7729101120,2500000.0,Долгопрудный,Москва
21,32110409332,274110679,7729101120,5228388.0,Долгопрудный,Москва
22,32110440959,274110679,7729101120,4504080.0,Долгопрудный,Москва
23,32110458779,274110679,7729101120,83654208.0,Долгопрудный,Москва
24,32110516146,274110679,7729101120,7750080.0,Долгопрудный,Москва
25,32110554410,274110679,7729101120,3261894.35,Долгопрудный,Москва
26,32110627996,274110679,7729101120,80677860.0,Долгопрудный,Москва
27,32110628102,274110679,7729101120,2500000.0,Долгопрудный,Москва
28,32110707577,274110679,7729101120,1500000.0,Долгопрудный,Москва
